# m n lo up gens time_s logN
# m n lo up gens time_s logN
323 88 0 0 0 0.019000000000000000000000000000000000000 2.6762649041182148740473817481041526770
323 106 2 2 2 0.027000000000000000000000000000000000000 1.5946673460271330578743691787496115559
323 146 1 1 1 0.020000000000000000000000000000000000000 -0.31203158609779405205632013976156152618
323 236 0 0 0 0.016000000000000000000000000000000000000 -0.87394816661915803628475110144161164877
324 259 1 1 1 0.024000000000000000000000000000000000000 -1.4265022742138364039960720061297883687
326 143 1 1 0 0.39700000000000000000000000000000000000 -0.57252245090217225683489890237067563379
326 301 0 0 0 0.073000000000000000000000000000000000000 -3.1918651019152225784228860213994596152
327 124 1 1 1 0.016000000000000000000000000000000000000 0.29195718439911820457227346601934139128
327 166 0 0 0 0.013000000000000000000000000000000000000 -0.0041530011272152050860174055427260840583
327 184 1 1 1 0.020000000000000000000000000000000000000 -0.062020909006899174174797188949640632074
328 119 0 0 0 0.071000000000000000000000000000000000000 0.78751709997100387554551251466001899393
328 141 1 1 0 0.21700000000000000000000000000000000000 -0.88008622546831195957272504202415419360
328 253 0 0 0 0.025000000000000000000000000000000000000 -1.1810658439202865331059143966956427382
329 62 0 2 0 0.36400000000000000000000000000000000000 4.3247506386438147852656257450213355907
329 124 1 1 0 0.29600000000000000000000000000000000000 0.36980341868956394301031413045589351743
329 142 0 0 0 0.015000000000000000000000000000000000000 -0.80456088307137735152743444253392994113
329 152 2 2 1 0.34900000000000000000000000000000000000 -0.19575350485526078045790186178605825792
329 214 0 0 0 0.017000000000000000000000000000000000000 -0.39864920740546498469106526452801251013
329 254 1 1 0 0.45200000000000000000000000000000000000 -1.1867819904857270211969391549964610410
332 161 0 0 0 0.021000000000000000000000000000000000000 -0.053196656177722131184442065721209899436
332 185 1 1 1 0.020000000000000000000000000000000000000 -0.049111511155164292863613268340647967215
332 221 1 1 1 0.022000000000000000000000000000000000000 -0.47699456457186992075984287153892785655
332 253 1 1 1 0.023000000000000000000000000000000000000 -1.1062591325730589950419472049535213796
333 248 1 1 1 0.020000000000000000000000000000000000000 -0.97454828561708384211053141076322016402
334 95 1 1 1 0.022000000000000000000000000000000000000 2.4514183494770258396892307063823461613
334 117 1 1 1 0.019000000000000000000000000000000000000 1.1035226446670299645564650172935508560
334 215 1 1 1 0.021000000000000000000000000000000000000 -0.36563177367948117533148876402902410732
335 76 2 2 2 0.026000000000000000000000000000000000000 3.5404572418550988366726776155659364364
335 158 1 1 0 0.36500000000000000000000000000000000000 -0.11981620002147207735110650666193809437
335 192 2 2 2 0.028000000000000000000000000000000000000 -0.089924935412166706214564048158886504811
335 224 1 1 1 0.027000000000000000000000000000000000000 -0.49305207899902042870728211098681663320
336 101 1 1 0 0.44600000000000000000000000000000000000 2.1443143925826176193143149459050748064
337 190 1 1 0 0.40500000000000000000000000000000000000 -0.064783451201537085078464516429986863876
337 246 2 2 2 0.025000000000000000000000000000000000000 -0.86923856979548687675070027611393778767
337 252 1 1 0 0.30100000000000000000000000000000000000 -0.99693445578611890500032995431260261108
337 286 1 1 1 0.030000000000000000000000000000000000000 -1.9516755359563486970738582461899281150
338 33 0 0 0 0.018000000000000000000000000000000000000 6.8113924514407340199364325123713784307
338 145 1 1 0 0.27800000000000000000000000000000000000 -0.92256350362498264581486817838089289433
339 38 1 1 1 0.019000000000000000000000000000000000000 6.3093072396567334935499019900639574587
339 178 1 1 0 0.37200000000000000000000000000000000000 -0.0020539444835536007826156985026621535808
340 67 0 0 0 0.040000000000000000000000000000000000000 4.1416143581005528787037283120331371325
340 179 0 0 0 0.018000000000000000000000000000000000000 -0.0028740909693832892566934000956687482439
340 211 1 1 0 0.33600000000000000000000000000000000000 -0.26066312260260591602633597134735300633
340 241 0 0 0 0.014000000000000000000000000000000000000 -0.72892621795000160226723846182119214756
340 263 1 1 1 0.019000000000000000000000000000000000000 -1.1991195725493304327613429587897031677
341 26 1 1 0 0.32300000000000000000000000000000000000 7.6971918338952952841153298544191066220
341 54 0 0 0 0.013000000000000000000000000000000000000 5.0136531310755706705226751556165593589
341 76 0 0 0 0.016000000000000000000000000000000000000 3.6185755838757372252054426185349223235
341 82 1 1 1 0.017000000000000000000000000000000000000 3.2782551459230793868317248709119322569
341 106 1 1 0 0.35800000000000000000000000000000000000 1.9450004898248428160943271009910851690
341 142 1 1 0 0.27400000000000000000000000000000000000 -2.4592530369950732438365061698623790529
341 152 1 1 1 0.022000000000000000000000000000000000000 -0.41413516296570415123974996711968513290
341 208 3 3 3 0.029000000000000000000000000000000000000 -0.21693295215881205424102614306754621301
341 268 0 2 0 0.46400000000000000000000000000000000000 -1.3047662704601632391753275121535750493
341 322 2 2 2 0.028000000000000000000000000000000000000 -3.7642352362510140101658645009314836109
342 43 2 2 2 0.029000000000000000000000000000000000000 5.8863412205097387572293077320679679413
342 139 0 0 0 0.024000000000000000000000000000000000000 -1.2731819716774240894682354083249600687
343 286 1 1 0 0.26400000000000000000000000000000000000 -1.7780397912892802062044445308264622427
344 69 1 1 1 0.083000000000000000000000000000000000000 4.0680983507820229030158627135970052227
