# m  n  q  status  tors_order  n_hits
83 56 3753/9296 CLOSED_RANK0 8 0
83 60 3289/9960 CLOSED_RANK0 8 0
83 62 3045/10292 CLOSED_RANK0 8 0
83 64 2793/10624 CLOSED_RANK0 8 0
83 76 1113/12616 CLOSED_RANK0 8 0
83 82 165/13612 CLOSED_RANK0 8 0
84 55 4031/9240 CLOSED_RANK0 8 0
84 73 1727/12264 CLOSED_RANK0 8 0
85 22 6741/3740 CLOSED_RANK0 8 0
85 32 6201/5440 CLOSED_RANK0 8 0
85 56 4089/9520 CLOSED_RANK0 8 0
85 74 1749/12580 CLOSED_RANK0 8 0
86 13 7227/2236 CLOSED_RANK0 8 0
86 17 7107/2924 CLOSED_RANK0 8 0
86 23 6867/3956 CLOSED_RANK0 8 0
86 27 6667/4644 CLOSED_RANK0 8 0
86 33 6307/5676 CLOSED_RANK0 8 0
86 49 4995/8428 CLOSED_RANK0 8 0
86 75 1771/12900 CLOSED_RANK0 8 0
86 77 1467/13244 CLOSED_RANK0 8 0
86 83 507/14276 CLOSED_RANK0 8 0
87 4 7553/696 CLOSED_RANK0 8 0
87 10 7469/1740 CLOSED_RANK0 8 0
87 20 7169/3480 CLOSED_RANK0 8 0
87 22 7085/3828 CLOSED_RANK0 8 0
87 32 6545/5568 CLOSED_RANK0 8 0
87 38 6125/6612 CLOSED_RANK0 8 0
87 44 5633/7656 CLOSED_RANK0 8 0
87 52 4865/9048 CLOSED_RANK0 8 0
87 68 2945/11832 CLOSED_RANK0 8 0
87 76 1793/13224 CLOSED_RANK0 8 0
87 80 1169/13920 CLOSED_RANK0 8 0
88 1 7743/176 CLOSED_RANK0 8 0
88 3 7735/528 CLOSED_RANK0 8 0
88 5 7719/880 CLOSED_RANK0 8 0
88 21 7303/3696 CLOSED_RANK0 8 0
88 29 6903/5104 CLOSED_RANK0 8 0
88 31 6783/5456 CLOSED_RANK0 8 0
88 57 4495/10032 CLOSED_RANK0 8 0
88 63 3775/11088 CLOSED_RANK0 8 0
88 65 3519/11440 CLOSED_RANK0 8 0
88 67 3255/11792 CLOSED_RANK0 8 0
88 81 1183/14256 CLOSED_RANK0 8 0
89 12 7777/2136 CLOSED_RANK0 8 0
89 24 7345/4272 CLOSED_RANK0 8 0
89 26 7245/4628 CLOSED_RANK0 8 0
89 30 7021/5340 CLOSED_RANK0 8 0
89 32 6897/5696 CLOSED_RANK0 8 0
89 38 6477/6764 CLOSED_RANK0 8 0
89 46 5805/8188 CLOSED_RANK0 8 0
89 52 5217/9256 CLOSED_RANK0 8 0
89 54 5005/9612 CLOSED_RANK0 8 0
89 62 4077/11036 CLOSED_RANK0 8 0
89 68 3297/12104 CLOSED_RANK0 8 0
89 74 2445/13172 CLOSED_RANK0 8 0
89 76 2145/13528 CLOSED_RANK0 8 0
89 82 1197/14596 CLOSED_RANK0 8 0
89 86 525/15308 CLOSED_RANK0 8 0
90 7 8051/1260 CLOSED_RANK0 8 0
90 31 7139/5580 CLOSED_RANK0 8 0
90 59 4619/10620 CLOSED_RANK0 8 0
90 83 1211/14940 CLOSED_RANK0 8 0
91 4 8265/728 CLOSED_RANK0 8 0
91 6 8245/1092 CLOSED_RANK0 8 0
91 8 8217/1456 CLOSED_RANK0 8 0
91 18 7957/3276 CLOSED_RANK0 8 0
91 30 7381/5460 CLOSED_RANK0 8 0
91 32 7257/5824 CLOSED_RANK0 8 0
91 40 6681/7280 CLOSED_RANK0 8 0
