# m n lo up gens time_s logN
1004 709 1 1 0 0.22500000000000000000000000000000000000 23.503265217380520866986129751713101726
1198 791 0 0 0 0.15800000000000000000000000000000000000 23.574554856056157005184774089457043971
1004 713 1 1 0 0.23100000000000000000000000000000000000 23.507760212406706431646627317476517300
1198 869 0 0 0 0.15600000000000000000000000000000000000 24.137006009898205546673407295384935602
1004 725 1 1 1 0.21200000000000000000000000000000000000 22.344041591148640738883579531390246014
1199 236 1 1 0 0.32600000000000000000000000000000000000 23.015287760653177775194010531867997332
1201 350 0 0 0 0.042000000000000000000000000000000000000 22.759244698083646358898076956044292048
1004 739 1 3 0 0.48400000000000000000000000000000000000 23.532449297826512235185153611495656692
1202 201 1 1 0 0.29800000000000000000000000000000000000 23.469827314989693224532022223902993134
1004 763 1 1 0 0.24500000000000000000000000000000000000 23.548139697835614534714682310855696066
1204 677 1 1 0 0.29300000000000000000000000000000000000 23.353266275569843747332184695469098315
1004 767 2 2 1 0.35000000000000000000000000000000000000 23.550068291049669577742507885726454190
1207 556 2 2 1 0.32300000000000000000000000000000000000 23.270621596230258240183823971535393263
1208 559 2 2 2 0.053000000000000000000000000000000000000 22.993496473097726649181727060315535139
1004 769 1 1 0 0.41100000000000000000000000000000000000 23.073835643757326015172746164956862432
1214 143 0 2 0 0.42000000000000000000000000000000000000 22.922989494776473511532404586886640011
1004 795 0 0 0 0.16700000000000000000000000000000000000 23.557723666974357468739857022009368319
1219 1042 0 0 0 0.16000000000000000000000000000000000000 24.204004333496187446349120267567221804
1223 506 0 0 0 0.066000000000000000000000000000000000000 21.282557724212580536140647278953100496
1226 1111 0 0 0 0.13400000000000000000000000000000000000 24.128752468708669926831404174639160057
1004 803 1 1 0 0.37900000000000000000000000000000000000 22.712819150236185842904214472275201226
1228 451 0 0 0 0.20600000000000000000000000000000000000 23.234542227499047514878078223709962818
1231 890 0 0 0 0.22400000000000000000000000000000000000 24.229170471103639673251978771236021822
1004 809 2 2 1 0.42900000000000000000000000000000000000 22.712338461625188594989276792402012241
1233 76 2 2 2 0.072000000000000000000000000000000000000 22.727742529918662056080803263927271336
1004 817 0 0 0 0.029000000000000000000000000000000000000 23.555921971763613137020947262409378916
1238 649 1 1 0 0.23400000000000000000000000000000000000 23.779157635584391365602135200792763152
1004 821 1 1 0 0.24100000000000000000000000000000000000 21.364443065659803206318925568447250231
1004 829 0 0 0 0.051000000000000000000000000000000000000 22.852691363600605894912766012441974848
1243 164 0 2 0 0.43200000000000000000000000000000000000 23.519723176949306021948158410866483608
1247 304 1 1 1 0.052000000000000000000000000000000000000 23.035106755529050353879096548270155105
1004 843 1 1 0 0.43700000000000000000000000000000000000 23.543392923667946365025622019594066658
1249 962 3 3 3 0.067000000000000000000000000000000000000 24.311323186270498368482693543201840991
1004 851 0 0 0 0.037000000000000000000000000000000000000 23.059785237128991888898372962359776812
1004 857 0 0 0 0.038000000000000000000000000000000000000 22.686022742110746316228430208296106977
1255 56 1 1 0 0.31200000000000000000000000000000000000 22.830550753083251794101575399802339798
1004 877 0 2 0 0.45600000000000000000000000000000000000 23.028234964496715133919728455464569325
1004 881 1 1 1 0.11300000000000000000000000000000000000 23.498850525034436338466606766608550881
1255 758 2 2 1 0.40200000000000000000000000000000000000 24.095600098695415609628795328272411133
1256 493 0 0 0 0.046000000000000000000000000000000000000 22.708106639420928382625974544143472880
1004 883 1 1 0 0.29400000000000000000000000000000000000 22.454015497554109867557175051342088354
1004 887 0 0 0 0.025000000000000000000000000000000000000 23.011004505555954863726926731986576215
1004 899 0 0 0 0.034000000000000000000000000000000000000 23.462784426041049426425318892510561817
1256 791 1 1 0 0.22800000000000000000000000000000000000 23.856851736189393587700950120484264584
1004 901 1 1 0 0.24000000000000000000000000000000000000 22.612901147001367858050011455318629623
1258 271 0 2 0 0.36900000000000000000000000000000000000 23.668635024841094047114633074776571292
1004 913 0 0 0 0.15900000000000000000000000000000000000 22.471114291071660189370857845844068369
1004 917 1 1 1 0.19000000000000000000000000000000000000 23.412793178067475418557802018217087049
1258 509 1 1 0 0.20900000000000000000000000000000000000 22.674588279845346076858217607470643739
1004 939 0 0 0 0.040000000000000000000000000000000000000 23.323661194708684138165205759739155482
