# m n cond status hhat cS w2 N0_rig
17 10 6199305 OK 5.1086561487543789619676519321607383836846258490946 12.918430464564145369056408203796733822379708049995 12 6
17 16 330818334 OK 3.5380219138162427511491855520919781883773947641323 13.240141797766019353841581477371623728619500737563 12 7
18 1 99838977 OK 8.5405208226801974100980962747083114738631060699147 12.396680794291822922787325726385460736608967516290 8 4
18 13 1178768955 OK 7.0433319524881476969613958276848183457485628194102 13.461456917213522006224636484842325172041357302711 8 5
19 2 825307959 OK 6.6250805264237206111578454505308065097114763931955 12.798939939354395114875894913529162246056449958960 4 5
19 4 1257524310 OK 9.0998602983867838142458427567719224757259356876783 12.913294092583060875874543728755309680447625884339 4 4
19 10 630445935 OK 4.3567648623913196364282973908395666405480311662462 13.155029186739121856717977310069616277339333576762 8 6
19 12 3979033086 OK 8.9093707955858036144115880322904479500011659734873 13.484434787399129109832231766966515287708939556107 4 4
20 3 1624382130 OK 5.2920095869147556560475837491140056072832845836697 13.082816991324738839274331197262663540582149069417 4 5
20 19 4268745390 OK 7.7672075877571456799731452593189149398736517252274 13.853544249330127749136827812823241511695601846665 4 5
21 2 1687769601 OK 12.816470956213668224070683211364356692738240018346 13.172751509482032604143072420986198837609306266383 4 4
21 8 462875322 OK 3.4272356071589335896847488443694714624359030008060 13.095867844517909545760770130464060065171470070842 8 7
21 10 2152560795 OK 7.5922364698094577428460898195994955673440065359302 13.345957535606097676929853471871152369563941094254 4 5
21 16 3242879430 OK 6.6990047169104338783216580530589574098613434055477 14.137181908864938938070107601394014035221755826520 12 5
22 3 13320615 OK 4.9300492897124842295587413952192694382409443883066 13.445838080096335312805124974561951800246390936146 8 6
22 13 3422804385 OK 4.0169737915523598568689430851086689190760158049376 13.957778186668406662126319265945903084750632778298 8 6
22 15 15748659465 OK 6.1842516069405413416499257185049069095228130413649 14.187830458957380373396954490324519846486282022166 4 5
23 2 645193815 OK 19.231577362295395674682720905597226397780335932098 13.511430559904370996454719560294411540766632230620 8 3
23 4 601258686 OK 4.4712587148242843160943402985379521319676592135669 13.664020215750713838530517451670673536781482434739 12 6
23 16 5866683186 OK 7.2716642005979589296503427841259689248483406030925 14.393551125275182721826929574794952197643642116135 12 5
23 18 9103142055 OK 8.8534297501333344912659427457484533954049629247038 14.525256641749797437001132615561801364630693336972 8 5
23 22 3878941605 OK 4.3878842911846337960238583108192456971451639476163 14.378793451469300470080415109603609463526303056672 8 6
24 1 226541490 OK 2.7257807827141460433799643675966004587620792689800 13.456038774463930955635024668939667427663538857681 8 8
24 5 4066396530 OK 5.1391661118046276679233046981787715586232879120437 13.847569153986994536638597617559228110932613036268 8 6
24 23 7890913002 OK 23.594137291218658346820500401920154625613225290089 14.538376110179201648820750868543520310793302732143 8 3
25 2 129596145 OK 6.9916860690687840982036132808192187130706123270920 13.821090539491226905294345038514137445863630480918 12 5
25 12 1856260770 OK 5.3857801172437599607277213128323857294916043821201 14.061353318300522284185058899664729067154536925120 8 6
25 14 4593974385 OK 4.4060968322882556429611597005083091109363604676919 14.371569651708612774518478076347651980276162686065 8 6
25 16 619721970 OK 4.5861413410998137692846110641982722207291899272052 14.603512748947241343131141943617669275359120264812 12 6
26 1 88319595 OK 3.8280981581823529086640384297134089184722520244533 13.750387654777090458939570373684565079962688449784 12 7
26 5 15072645315 OK 6.0269819819240773047602146743394373832947430713647 14.164051798989561036484025744219132463377781366520 4 5
26 11 217222005 OK 5.1733650124552836541381019388452715926676013953365 13.779009367963098164199442409913122788610367543870 4 6
26 19 22742894265 OK 9.1650282067358970706562764050302614485246403418632 14.946446214835254883481313892405189781561840699615 8 5
26 21 72959568045 OK 16.941464903496417731821567533841607574384788572006 15.038199281437772764530455734469000147128629435592 4 3
26 23 8845899153 OK 10.847765321372106268590690554660398744206411337204 15.046346048748616559341030372497084734656147881834 8 4
26 25 5593727685 OK 16.052275291518854097364158665666731430702721326530 14.838089843698657963120631152845938128381414042903 8 4
27 20 10444029330 OK 9.8825649538560266972613116191690742311577601035982 15.112918525608720529747842099237567658249683533921 12 4
27 22 1560773445 OK 3.8007767686190939589389799197082841803532884597847 15.194083115962615594813538863389514349778498286769 12 7
